guard_subset,agent_model,unsafe_prompt_position,from_8k,to_32k,n,pct_of_pairs,n_pairs
guardreasoner,meta-llama/Llama-3.1-8B-Instruct,end,unsafe,unsafe,9,8.823529411764707,102
guardreasoner,meta-llama/Llama-3.1-8B-Instruct,middle,safe,safe,88,86.27450980392157,102
guardreasoner,meta-llama/Llama-3.1-8B-Instruct,middle,safe,unsafe,6,5.882352941176471,102
guardreasoner,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,safe,2,1.9607843137254901,102
guardreasoner,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,unsafe,6,5.882352941176471,102
wildguard,Qwen/Qwen2.5-14B-Instruct,beginning,safe,safe,12,66.66666666666667,18
wildguard,Qwen/Qwen2.5-14B-Instruct,beginning,safe,unsafe,3,16.666666666666668,18
wildguard,Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,safe,1,5.555555555555555,18
wildguard,Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,unsafe,2,11.11111111111111,18
wildguard,Qwen/Qwen2.5-14B-Instruct,end,safe,safe,16,88.88888888888889,18
wildguard,Qwen/Qwen2.5-14B-Instruct,end,safe,unsafe,1,5.555555555555555,18
wildguard,Qwen/Qwen2.5-14B-Instruct,end,unsafe,safe,1,5.555555555555555,18
wildguard,Qwen/Qwen2.5-14B-Instruct,end,unsafe,unsafe,0,0.0,18
wildguard,Qwen/Qwen2.5-14B-Instruct,middle,safe,safe,0,0.0,1
wildguard,Qwen/Qwen2.5-14B-Instruct,middle,safe,unsafe,1,100.0,1
wildguard,Qwen/Qwen2.5-14B-Instruct,middle,unsafe,safe,0,0.0,1
wildguard,Qwen/Qwen2.5-14B-Instruct,middle,unsafe,unsafe,0,0.0,1
wildguard,meta-llama/Llama-3.1-8B-Instruct,beginning,safe,safe,16,88.88888888888889,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,beginning,safe,unsafe,0,0.0,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,safe,2,11.11111111111111,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,unsafe,0,0.0,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,end,safe,safe,17,94.44444444444444,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,end,safe,unsafe,1,5.555555555555555,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,end,unsafe,safe,0,0.0,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,end,unsafe,unsafe,0,0.0,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,middle,safe,safe,17,94.44444444444444,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,middle,safe,unsafe,1,5.555555555555555,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,safe,0,0.0,18
wildguard,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,unsafe,0,0.0,18
xguard,Qwen/Qwen2.5-14B-Instruct,beginning,safe,safe,1479,58.597464342313785,2524
xguard,Qwen/Qwen2.5-14B-Instruct,beginning,safe,unsafe,261,10.340729001584785,2524
xguard,Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,safe,90,3.565768621236133,2524
xguard,Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,unsafe,694,27.496038034865293,2524
xguard,Qwen/Qwen2.5-14B-Instruct,end,safe,safe,2156,85.41996830427892,2524
xguard,Qwen/Qwen2.5-14B-Instruct,end,safe,unsafe,78,3.0903328050713155,2524
xguard,Qwen/Qwen2.5-14B-Instruct,end,unsafe,safe,104,4.120443740095087,2524
xguard,Qwen/Qwen2.5-14B-Instruct,end,unsafe,unsafe,186,7.369255150554675,2524
xguard,Qwen/Qwen2.5-14B-Instruct,middle,safe,safe,43,51.80722891566265,83
xguard,Qwen/Qwen2.5-14B-Instruct,middle,safe,unsafe,11,13.25301204819277,83
xguard,Qwen/Qwen2.5-14B-Instruct,middle,unsafe,safe,2,2.4096385542168677,83
xguard,Qwen/Qwen2.5-14B-Instruct,middle,unsafe,unsafe,27,32.53012048192771,83
xguard,meta-llama/Llama-3.1-8B-Instruct,beginning,safe,safe,2208,87.48019017432647,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,beginning,safe,unsafe,12,0.4754358161648177,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,safe,296,11.727416798732172,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,unsafe,8,0.31695721077654515,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,end,safe,safe,1708,67.67036450079239,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,end,safe,unsafe,168,6.6561014263074485,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,end,unsafe,safe,182,7.210776545166403,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,end,unsafe,unsafe,466,18.462757527733757,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,middle,safe,safe,1788,70.83993660855785,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,middle,safe,unsafe,356,14.10459587955626,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,safe,96,3.803486529318542,2524
xguard,meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,unsafe,284,11.251980982567353,2524
