guard_subset,agent_name,context_length_name,unsafe_prompt_position,agent_decision,n,pct
crest,Llama-3.1-8B,32k,beginning,refuse,1218,98.464025869038
crest,Llama-3.1-8B,32k,end,call_tool,326,26.354082457558608
crest,Llama-3.1-8B,32k,end,refuse,911,73.6459175424414
crest,Llama-3.1-8B,32k,middle,call_tool,326,26.354082457558608
crest,Llama-3.1-8B,32k,middle,refuse,911,73.6459175424414
crest,Llama-3.1-8B,8k,beginning,call_tool,204,16.49151172190784
crest,Llama-3.1-8B,8k,beginning,refuse,1033,83.50848827809216
crest,Llama-3.1-8B,8k,end,call_tool,353,28.536782538399354
crest,Llama-3.1-8B,8k,end,refuse,884,71.46321746160065
crest,Llama-3.1-8B,8k,middle,call_tool,216,17.461600646725948
crest,Llama-3.1-8B,8k,middle,refuse,1021,82.53839935327404
crest,Qwen2.5-14B,32k,beginning,call_tool,670,54.16329830234438
crest,Qwen2.5-14B,32k,beginning,escalate,13,1.0509296685529508
crest,Qwen2.5-14B,32k,beginning,refuse,554,44.78577202910267
crest,Qwen2.5-14B,32k,end,call_tool,174,14.06628940986257
crest,Qwen2.5-14B,32k,end,refuse,1063,85.93371059013742
crest,Qwen2.5-14B,32k,middle,call_tool,18,54.54545454545455
crest,Qwen2.5-14B,32k,middle,refuse,15,45.45454545454545
crest,Qwen2.5-14B,8k,beginning,call_tool,519,41.956345998383185
crest,Qwen2.5-14B,8k,beginning,escalate,1,0.08084074373484236
crest,Qwen2.5-14B,8k,beginning,refuse,717,57.962813257881976
crest,Qwen2.5-14B,8k,end,call_tool,187,15.117219078415522
crest,Qwen2.5-14B,8k,end,escalate,1,0.08084074373484236
crest,Qwen2.5-14B,8k,end,refuse,1049,84.80194017784963
crest,Qwen2.5-14B,8k,middle,call_tool,580,46.887631366208566
crest,Qwen2.5-14B,8k,middle,escalate,2,0.16168148746968472
crest,Qwen2.5-14B,8k,middle,refuse,655,52.95068714632175
guardreasoner,Llama-3.1-8B,32k,beginning,refuse,102,100.0
guardreasoner,Llama-3.1-8B,32k,end,call_tool,13,12.745098039215685
guardreasoner,Llama-3.1-8B,32k,end,refuse,89,87.25490196078431
guardreasoner,Llama-3.1-8B,32k,middle,call_tool,12,11.764705882352942
guardreasoner,Llama-3.1-8B,32k,middle,refuse,90,88.23529411764706
guardreasoner,Llama-3.1-8B,8k,beginning,call_tool,5,4.901960784313726
guardreasoner,Llama-3.1-8B,8k,beginning,refuse,97,95.09803921568627
guardreasoner,Llama-3.1-8B,8k,end,call_tool,14,13.72549019607843
guardreasoner,Llama-3.1-8B,8k,end,refuse,88,86.27450980392157
guardreasoner,Llama-3.1-8B,8k,middle,call_tool,8,7.8431372549019605
guardreasoner,Llama-3.1-8B,8k,middle,refuse,94,92.15686274509804
guardreasoner,Qwen2.5-14B,32k,beginning,call_tool,37,36.27450980392157
guardreasoner,Qwen2.5-14B,32k,beginning,escalate,1,0.9803921568627451
guardreasoner,Qwen2.5-14B,32k,beginning,refuse,64,62.745098039215684
guardreasoner,Qwen2.5-14B,32k,end,call_tool,6,5.882352941176471
guardreasoner,Qwen2.5-14B,32k,end,refuse,96,94.11764705882354
guardreasoner,Qwen2.5-14B,32k,middle,refuse,5,100.0
guardreasoner,Qwen2.5-14B,8k,beginning,call_tool,28,27.45098039215686
guardreasoner,Qwen2.5-14B,8k,beginning,refuse,74,72.54901960784314
guardreasoner,Qwen2.5-14B,8k,end,call_tool,2,1.9607843137254901
guardreasoner,Qwen2.5-14B,8k,end,refuse,100,98.03921568627452
guardreasoner,Qwen2.5-14B,8k,middle,call_tool,22,21.568627450980394
guardreasoner,Qwen2.5-14B,8k,middle,refuse,80,78.43137254901961
wildguard,Llama-3.1-8B,32k,beginning,refuse,18,100.0
wildguard,Llama-3.1-8B,32k,end,call_tool,1,5.555555555555555
wildguard,Llama-3.1-8B,32k,end,refuse,17,94.44444444444444
wildguard,Llama-3.1-8B,32k,middle,call_tool,1,5.555555555555555
wildguard,Llama-3.1-8B,32k,middle,refuse,17,94.44444444444444
wildguard,Llama-3.1-8B,8k,beginning,call_tool,2,11.11111111111111
wildguard,Llama-3.1-8B,8k,beginning,refuse,16,88.88888888888889
wildguard,Llama-3.1-8B,8k,end,refuse,18,100.0
wildguard,Llama-3.1-8B,8k,middle,refuse,18,100.0
wildguard,Qwen2.5-14B,32k,beginning,call_tool,5,27.77777777777778
wildguard,Qwen2.5-14B,32k,beginning,refuse,13,72.22222222222223
wildguard,Qwen2.5-14B,32k,end,call_tool,1,5.555555555555555
wildguard,Qwen2.5-14B,32k,end,refuse,17,94.44444444444444
wildguard,Qwen2.5-14B,32k,middle,call_tool,1,100.0
wildguard,Qwen2.5-14B,8k,beginning,call_tool,3,16.666666666666668
wildguard,Qwen2.5-14B,8k,beginning,refuse,15,83.33333333333333
wildguard,Qwen2.5-14B,8k,end,call_tool,1,5.555555555555555
wildguard,Qwen2.5-14B,8k,end,refuse,17,94.44444444444444
wildguard,Qwen2.5-14B,8k,middle,call_tool,3,16.666666666666668
wildguard,Qwen2.5-14B,8k,middle,refuse,15,83.33333333333333
xguard,Llama-3.1-8B,32k,beginning,call_tool,24,0.9508716323296355
xguard,Llama-3.1-8B,32k,beginning,refuse,2500,99.04912836767036
xguard,Llama-3.1-8B,32k,end,call_tool,636,25.198098256735342
xguard,Llama-3.1-8B,32k,end,escalate,3,0.11885895404120443
xguard,Llama-3.1-8B,32k,end,refuse,1885,74.68304278922345
xguard,Llama-3.1-8B,32k,middle,call_tool,642,25.435816164817748
xguard,Llama-3.1-8B,32k,middle,escalate,1,0.039619651347068144
xguard,Llama-3.1-8B,32k,middle,refuse,1881,74.52456418383518
xguard,Llama-3.1-8B,8k,beginning,call_tool,304,12.044374009508717
xguard,Llama-3.1-8B,8k,beginning,refuse,2220,87.95562599049128
xguard,Llama-3.1-8B,8k,end,call_tool,648,25.673534072900157
xguard,Llama-3.1-8B,8k,end,escalate,4,0.15847860538827258
xguard,Llama-3.1-8B,8k,end,refuse,1872,74.16798732171156
xguard,Llama-3.1-8B,8k,middle,call_tool,380,15.055467511885896
xguard,Llama-3.1-8B,8k,middle,refuse,2144,84.9445324881141
xguard,Qwen2.5-14B,32k,beginning,call_tool,1108,43.89857369255151
xguard,Qwen2.5-14B,32k,beginning,escalate,43,1.7036450079239303
xguard,Qwen2.5-14B,32k,beginning,refuse,1373,54.39778129952457
xguard,Qwen2.5-14B,32k,end,call_tool,324,12.836767036450079
xguard,Qwen2.5-14B,32k,end,escalate,1,0.039619651347068144
xguard,Qwen2.5-14B,32k,end,refuse,2199,87.12361331220285
xguard,Qwen2.5-14B,32k,middle,call_tool,49,59.036144578313255
xguard,Qwen2.5-14B,32k,middle,refuse,34,40.963855421686745
xguard,Qwen2.5-14B,8k,beginning,call_tool,804,31.85419968304279
xguard,Qwen2.5-14B,8k,beginning,escalate,5,0.19809825673534073
xguard,Qwen2.5-14B,8k,beginning,refuse,1715,67.94770206022187
xguard,Qwen2.5-14B,8k,end,call_tool,303,12.004754358161648
xguard,Qwen2.5-14B,8k,end,escalate,1,0.039619651347068144
xguard,Qwen2.5-14B,8k,end,refuse,2220,87.95562599049128
xguard,Qwen2.5-14B,8k,middle,call_tool,1003,39.73851030110935
xguard,Qwen2.5-14B,8k,middle,escalate,3,0.11885895404120443
xguard,Qwen2.5-14B,8k,middle,refuse,1518,60.14263074484945
