source_file,guard_subset,guard_subset_display,file_guard,context_type,context_length,prompt_position,agent_tag,raw_nonblank_rows,malformed_rows,missing_key_rows,unique_composite_keys_in_file,duplicate_key_rows_within_file,unique_sample_ids_in_file,valid_inference_rows_raw,scorable_rows_raw,agent_inference_reused_rows,guard_metadata_mismatch_rows,expected_cases,completion_pct
wildguard/longctx_conversation_32k_beginning_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,beginning,qwen25_14b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_32k_end_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,end,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_32k_end_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,end,qwen25_14b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_32k_middle_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,middle,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_32k_middle_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,middle,qwen25_14b,18,0,0,18,0,18,1,1,18,0,18,100.0
wildguard/longctx_conversation_8k_beginning_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,beginning,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_8k_beginning_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,beginning,qwen25_14b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_8k_end_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,end,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_8k_end_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,end,qwen25_14b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_8k_middle_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,middle,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
wildguard/longctx_conversation_8k_middle_wildguard_k=1_qwen25_14b.jsonl,wildguard,WildGuard,wildguard,conversation,8k,middle,qwen25_14b,18,0,0,18,0,18,18,18,18,0,18,100.0
xguard/longctx_conversation_32k_beginning_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,32k,beginning,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_32k_beginning_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,32k,beginning,qwen25_14b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_32k_end_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,32k,end,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_32k_end_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,32k,end,qwen25_14b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_32k_middle_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,32k,middle,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_32k_middle_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,32k,middle,qwen25_14b,2522,0,0,2522,0,2522,83,83,2522,0,2524,99.92076069730587
xguard/longctx_conversation_8k_beginning_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,8k,beginning,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_8k_beginning_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,8k,beginning,qwen25_14b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_8k_end_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,8k,end,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_8k_end_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,8k,end,qwen25_14b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_8k_middle_xguard_k=1_llama31_8b.jsonl,xguard,XGuard,xguard,conversation,8k,middle,llama31_8b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
xguard/longctx_conversation_8k_middle_xguard_k=1_qwen25_14b.jsonl,xguard,XGuard,xguard,conversation,8k,middle,qwen25_14b,2524,0,0,2524,0,2524,2524,2524,2524,0,2524,100.0
